DATE,PNGASJPUSDM
1992-01-01,3.8
1992-02-01,3.55
1992-03-01,3.45
1992-04-01,3.45
1992-05-01,3.585
1992-06-01,3.72
1992-07-01,3.94
1992-08-01,3.96
1992-09-01,3.98
1992-10-01,3.87
1992-11-01,3.84
1992-12-01,3.78
1993-01-01,3.61
1993-02-01,3.68
1993-03-01,3.6
1993-04-01,3.82
1993-05-01,3.8
1993-06-01,3.79
1993-07-01,3.76
1993-08-01,3.63
1993-09-01,3.5
1993-10-01,3.36
1993-11-01,3.41
1993-12-01,3.21
1994-01-01,3.07
1994-02-01,3.17
1994-03-01,3.16
1994-04-01,3.11
1994-05-01,3.11
1994-06-01,3.32
1994-07-01,3.43
1994-08-01,3.55
1994-09-01,3.6
1994-10-01,3.42
1994-11-01,3.25
1994-12-01,3.23
1995-01-01,3.38
1995-02-01,3.54
1995-03-01,3.8
1995-04-01,3.82
1995-05-01,3.71
1995-06-01,3.85
1995-07-01,3.62
1995-08-01,3.32
1995-09-01,3.35
1995-10-01,3.43
1995-11-01,3.41
1995-12-01,3.45
1996-01-01,3.59
1996-02-01,3.81
1996-03-01,3.76
1996-04-01,3.82
1996-05-01,3.82
1996-06-01,3.79
1996-07-01,3.79
1996-08-01,3.87
1996-09-01,3.81
1996-10-01,4.04
1996-11-01,4.41
1996-12-01,4.32
1997-01-01,4.29
1997-02-01,4.4
1997-03-01,4.11
1997-04-01,3.72
1997-05-01,3.73
1997-06-01,3.66
1997-07-01,3.5
1997-08-01,3.43
1997-09-01,3.5
1997-10-01,3.5
1997-11-01,3.63
1997-12-01,3.66
1998-01-01,3.46
1998-02-01,2.98
1998-03-01,2.81
1998-04-01,2.61
1998-05-01,2.67
1998-06-01,2.66
1998-07-01,2.57
1998-08-01,2.57
1998-09-01,2.65
1998-10-01,2.76
1998-11-01,2.67
1998-12-01,2.64
1999-01-01,2.64
1999-02-01,2.57
1999-03-01,2.61
1999-04-01,2.68
1999-05-01,3.02
1999-06-01,3.19
1999-07-01,3.23
1999-08-01,3.52
1999-09-01,3.83
1999-10-01,4.14
1999-11-01,4.25
1999-12-01,4.43
2000-01-01,4.54
2000-02-01,4.58
2000-03-01,4.95
2000-04-01,5.08
2000-05-01,4.58
2000-06-01,5.14
2000-07-01,5.38
2000-08-01,5.51
2000-09-01,5.56
2000-10-01,5.92
2000-11-01,5.86
2000-12-01,5.72
2001-01-01,4.98
2001-02-01,4.66
2001-03-01,4.85
2001-04-01,4.79
2001-05-01,4.95
2001-06-01,5.11
2001-07-01,5.05
2001-08-01,4.73
2001-09-01,4.63
2001-10-01,4.65
2001-11-01,3.95
2001-12-01,3.68
2002-01-01,3.57
2002-02-01,3.64
2002-03-01,3.69
2002-04-01,4.07
2002-05-01,4.44
2002-06-01,4.53
2002-07-01,5.76
2002-08-01,4.52
2002-09-01,4.63
2002-10-01,4.76
2002-11-01,4.8
2002-12-01,4.71
2003-01-01,5.01
2003-02-01,5.31
2003-03-01,5.44
2003-04-01,5.18
2003-05-01,4.87
2003-06-01,4.7
2003-07-01,4.67
2003-08-01,4.75
2003-09-01,4.93
2003-10-01,4.82
2003-11-01,5.05
2003-12-01,5.04
2004-01-01,5.14
2004-02-01,5.2
2004-03-01,5.29
2004-04-01,5.5
2004-05-01,5.47
2004-06-01,5.88
2004-07-01,5.73
2004-08-01,5.9
2004-09-01,6.44
2004-10-01,6.66
2004-11-01,6.94
2004-12-01,6.54
2005-01-01,5.82
2005-02-01,6.1
2005-03-01,6.46
2005-04-01,7.04
2005-05-01,7.22
2005-06-01,6.55
2005-07-01,7.06
2005-08-01,7.22
2005-09-01,7.71
2005-10-01,8.01
2005-11-01,8.11
2005-12-01,7.09
2006-01-01,7.34
2006-02-01,7.89
2006-03-01,7.91
2006-04-01,7.81
2006-05-01,8.56
2006-06-01,8.64
2006-07-01,8.51
2006-08-01,8.37
2006-09-01,8.83
2006-10-01,7.94
2006-11-01,7.5
2006-12-01,7.29
2007-01-01,7.66
2007-02-01,7.17
2007-03-01,7.36
2007-04-01,7.72
2007-05-01,8.21
2007-06-01,8.48
2007-07-01,8.22
2007-08-01,8.61
2007-09-01,8.55
2007-10-01,9.16
2007-11-01,9.52
2007-12-01,10.27
2008-01-01,10.5
2008-02-01,10.75
2008-03-01,10.63
2008-04-01,11.48
2008-05-01,12.3
2008-06-01,13.31
2008-07-01,14.08
2008-08-01,13.81
2008-09-01,12.6
2008-10-01,13.15
2008-11-01,9.1
2008-12-01,7.38
2009-01-01,6.03
2009-02-01,5.83
2009-03-01,6.25
2009-04-01,6.47
2009-05-01,6.79
2009-06-01,6.97
2009-07-01,8.05
2009-08-01,8.48
2009-09-01,8.55
2009-10-01,8.75
2009-11-01,8.56
2009-12-01,9.16
2010-01-01,9.34
2010-02-01,9.01
2010-03-01,9.17
2010-04-01,9.34
2010-05-01,10.04
2010-06-01,9.28
2010-07-01,9.09
2010-08-01,8.85
2010-09-01,8.98
2010-10-01,9.52
2010-11-01,10
2010-12-01,9.95
2011-01-01,10.81
2011-02-01,11.89
2011-03-01,12.18
2011-04-01,14.41
2011-05-01,15.75
2011-06-01,16.29
2011-07-01,16.29
2011-08-01,17.7
2011-09-01,17.78
2011-10-01,17.6
2011-11-01,17.89
2011-12-01,18.05
2012-01-01,17.46
2012-02-01,16.71
2012-03-01,18.42
2012-04-01,19.57
2012-05-01,18.33
2012-06-01,19.38
2012-07-01,19.1
2012-08-01,18.39
2012-09-01,18.76
2012-10-01,17.27
2012-11-01,16.83
2012-12-01,17.52
2013-01-01,17.79
2013-02-01,17.72
2013-03-01,18.31
2013-04-01,17.71
2013-05-01,16.94
2013-06-01,17.69
2013-07-01,16.98
2013-08-01,17
2013-09-01,17.01
2013-10-01,16.49
2013-11-01,16.71
2013-12-01,17.72
2014-01-01,17.76
2014-02-01,17.96
2014-03-01,17.81
2014-04-01,17.67
2014-05-01,17.68
2014-06-01,17.51
2014-07-01,17.43
2014-08-01,16.23
2014-09-01,15.7
2014-10-01,15.23
2014-11-01,16.41
2014-12-01,16.58
2015-01-01,15.5
2015-02-01,14.69
2015-03-01,13.05
2015-04-01,11.02
2015-05-01,9.04
2015-06-01,8.79
2015-07-01,9.32
2015-08-01,10.16
2015-09-01,10.01
2015-10-01,10.37
2015-11-01,9.4
2015-12-01,10.15
2016-01-01,8.46
2016-02-01,7.99
2016-03-01,8.01
2016-04-01,6.68
2016-05-01,6.81
2016-06-01,7.08
2016-07-01,6.85
2016-08-01,7.42
2016-09-01,7.79
2016-10-01,7.93
2016-11-01,7.16
2016-12-01,7.09
2017-01-01,9.17409090909091
2017-02-01,7.128
2017-03-01,5.79478260869565
2017-04-01,5.7095
2017-05-01,5.7190625
2017-06-01,5.52363636363636
2017-07-01,5.63190476190476
2017-08-01,6.13086956521739
2017-09-01,7.08428571428571
2017-10-01,8.79272727272727
2017-11-01,9.57142857142857
2017-12-01,10.7090476190476
2018-01-01,11.6695652173913
2018-02-01,10.471
2018-03-01,8.46090909090909
2018-04-01,7.47523809523809
2018-05-01,8.61260869565217
2018-06-01,10.437619047619
2018-07-01,9.97227272727273
2018-08-01,10.5904347826087
2018-09-01,11.0905
2018-10-01,10.035652173913
2018-11-01,9.77727272727273
2018-12-01,8.95190476190476
2019-01-01,8.28565217391304
2019-02-01,6.501
2019-03-01,5.2452380952381
2019-04-01,5.0797619047619
2019-05-01,5.03326086956522
2019-06-01,4.38925
2019-07-01,4.41934782608696
2019-08-01,4.28022727272727
2019-09-01,5.05452380952381
2019-10-01,6.01739130434783
2019-11-01,5.45642857142857
2019-12-01,5.57340909090909
2020-01-01,4.91369565217391
2020-02-01,2.92025
2020-03-01,3.27886363636364
2020-04-01,2.12636363636364
2020-05-01,2.03214285714286
2020-06-01,2.05045454545455
2020-07-01,2.28695652173913
2020-08-01,3.62571428571429
2020-09-01,4.60977272727273
2020-10-01,6.12181818181818
2020-11-01,6.82214285714286
2020-12-01,11.6089130434783
2021-01-01,20.4152380952381
2021-02-01,7.16875
2021-03-01,6.44347826086957
2021-04-01,7.89413043478261
2021-05-01,10.0145
2021-06-01,12.0172727272727
2021-07-01,14.0968181818182
2021-08-01,16.6438636363636
2021-09-01,24.0629545454545
2021-10-01,35.0652380952381
2021-11-01,31.9635714285714
2021-12-01,37.4197826086957
2022-01-01,26.8283333333333
2022-02-01,27.82325
2022-03-01,38.7358695652174
2022-04-01,29.0147619047619
2022-05-01,21.9377272727273
2022-06-01,29.5381818181818
2022-07-01,41.1695
2022-08-01,54.1575
2022-09-01,44.6822727273
2022-10-01,29.742
2022-11-01,25.2177272727
2022-12-01,30.7171428571
2023-01-01,20.6855263158
2023-02-01,15.9625
2023-03-01,13.3504347826
2023-04-01,12.0110526316
2023-05-01,9.9006818182
2023-06-01,10.10725
2023-07-01,10.8811904762
2023-08-01,11.7529545455
2023-09-01,13.1515
2023-10-01,15.2934090909
